species,individuals,ID,date,notes
fish,289,114,11/10/2022,over two days
fish,158,15,12/10/2022,
birds,4,129,11/10/2022,
birds,1,54,06/10/2022,
assamese_macaque,3,62,06/10/2022,
barking_deer,1,62,11/10/2022,
birds,35,59,13/10/2022,
fish,128,59,11/10/2022,
birds,5,60,09/10/2022,
birds,5,76,13/10/2022,
squirrel,2,76,14/10/2022,
fish,35,79,11/10/2022,
barking_deer,1,159,14/10/2022,
fish,85,74,11/10/2022,
birds,4,70,15/10/2022,
squirrel,3,69,15/10/2022,
squirrel,1,55,15/10/2022,
flying_squirrel,5,58,05/10/2022,over two days
civet,1,58,14/10/2022,
squirrel,3,64,28/10/2022,
squirrel,2,71,27/10/2022,
fish,70,114,22/10/2022,
birds,6,114,28/10/2022,
fish,9,15,24/10/2022,
birds,7,59,27/10/2022,
fish,70,59,25/10/2022,
birds,3,60,27/10/2022,
birds,8,76,28/10/2022,
squirrel,3,76,24/10/2022,
birds,63,62,24/10/2022,
squirrel,3,78,28/10/2022,
squirrel,3,54,24/10/2022,
birds,2,54,24/10/2022,
birds,5,70,27/10/2022,
birds,10,91,12/10/2022,
birds,11,112,14/10/2022,
dhole,1,156,17/10/2022,
wild_boar,1,7,27/11/2022,kamkosangshong
birds,10,88,11/10/2022,
barking_deer,1,41,12/10/2022,
macaque_sp,1,7,11/10/2022,
birds,10,36,06/10/2022,
birds,15,3,11/10/2022,
birds,20,11,10/10/2022,
flying_squirrel,1,56,06/10/2022,
barking_deer,1,56,07/10/2022,
birds,20,171,13/10/2022,
birds,15,165,13/10/2022,
barking_deer,1,98,11/10/2022,
birds,11,112,14/10/2022,
birds,10,146,11/10/2022,
birds,19,117,08/10/2022,
birds,10,39,21/10/2022,
birds,15,112,21/10/2022,
barking_deer,1,174,31/10/2022,
stump_tailed_macaque,1,7,19/10/2022,
serow,1,3,20/10/2022,
dhole,1,3,21/10/2022,
birds,20,11,23/10/2022,
squirrel,4,163,28/10/2022,
birds,10,171,27/10/2022,
kalij_pheasant,1,175,21/10/2022,
birds,20,91,28/11/2022,
squirrel,11,91,28/11/2022,
squirrel,8,2,29/10/2022,
squirrel,4,14,29/10/2022,
birds,10,112,21/10/2022,
birds,17,146,26/10/2022,
birds,13,129,09/11/2022,
birds,30,59,11/11/2022,
squirrel,10,60,11/11/2022,
birds,2,84,12/11/2022,
birds,6,10,08/11/2022,
birds,10,55,08/11/2022,
birds,50,65,08/11/2022,
barking_deer,1,83,12/11/2022,
birds,30,83,08/11/2022,
barking_deer,1,64,12/11/2022,
fish,30,133,12/11/2022,
kalij_pheasant,1,162,08/11/2022,
birds,10,70,09/11/2022,
squirrel,10,69,06/11/2022,
assamese_macaque,1,54,12/11/2022,
birds,30,55,22/11/2022,
barking_deer,2,31,07/11/2022,over two days
barking_deer,2,83,19/11/2022,
birds,10,65,18/11/2022,
birds,10,69,26/11/2022,
barking_deer,1,54,23/11/2022,
assamese_macaque,1,54,18/11/2022,
birds,13,176,16/11/2022,
birds,1,15,15/11/2022,
birds,60,114,18/11/2022,
frogs,300,59,26/11/2022,
birds,20,59,26/11/2022,
hill_partridge,2,162,22/11/2022,
malayan_porcupine ,2,162,18/11/2022,
malayan_porcupine ,1,66,16/11/2022,
brush_tailed_porcupine,1,70,18/11/2022,
barking_deer,2,133,01/11/2022,
green_pigeon,10,112,18/11/2022,
green_pigeon,5,18,20/11/2022,
birds,20,34,23/11/2022,
green_pigeon,4,11,17/11/2022,
birds,26,91,23/11/2022,
wild_boar,1,49,10/11/2022,
birds,20,101,09/11/2022,
birds,30,34,12/11/2022,
birds,20,177,11/11/2022,
